App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
The Fish Master!,GAME,4.1,15763,54M,"1,000,000+",Free,0,Everyone,Arcade,"July 17, 2018",1.6,4.1 and up
Color By Number - Sandbox Pixel Coloring Book,FAMILY,4.7,24557,24M,"1,000,000+",Free,0,Everyone,Casual;Creativity,"August 3, 2018",1.3.6,4.4 and up
Collage&Add Stickers papelook,PHOTOGRAPHY,4.0,32896,31M,"5,000,000+",Free,0,Everyone,Photography,"March 14, 2018",3.3.5,2.3.3 and up
Tuner - gStrings Free,TOOLS,4.5,214265,Varies with device,"10,000,000+",Free,0,Everyone,Tools,"June 4, 2018",Varies with device,Varies with device
Best CG Backgrounds,FAMILY,3.6,8,3.7M,500+,Free,0,Everyone,Entertainment,"May 20, 2018",8.0,4.0.3 and up
Unicorn Photo,PHOTOGRAPHY,3.7,3362,Varies with device,"1,000,000+",Free,0,Everyone,Photography,"May 22, 2018",Varies with device,4.0 and up
Faceoff DP Battle App,FAMILY,4.8,38,6.7M,"1,000+",Free,0,Everyone,Entertainment,"June 15, 2018",5.2,4.4 and up
Commission Manager,PRODUCTIVITY,3.2,12,2.2M,"1,000+",Free,0,Everyone,Productivity,"March 26, 2015",1.0.0.0,2.3.3 and up
Photo Editor by Aviary,PHOTOGRAPHY,4.4,1490732,21M,"50,000,000+",Free,0,Everyone,Photography,"July 19, 2018",4.8.4,4.1 and up
Br Browser,SOCIAL,4.9,29,2.5M,500+,Free,0,Everyone,Social,"March 20, 2018",5.0,5.0 and up
Body Scanner xray Real Camera Prank Entertaintment,FAMILY,2.6,17,4.6M,"5,000+",Free,0,Everyone,Entertainment,"May 5, 2018",1.0,2.3 and up
Case Simulator Hero for CS:GO,FAMILY,4.3,14604,68M,"500,000+",Free,0,Teen,Simulation,"July 4, 2018",3.1.2,4.2 and up
BG Burger,FOOD_AND_DRINK,,1,19M,10+,Free,0,Everyone,Food & Drink,"March 29, 2017",1.0,4.1 and up
Wendy’s – Food and Offers,FOOD_AND_DRINK,3.4,6507,18M,"1,000,000+",Free,0,Everyone,Food & Drink,"April 12, 2018",5.7.0,4.4 and up
Ready4 SAT (Prep4 SAT),EDUCATION,4.6,13612,48M,"100,000+",Free,0,Everyone,Education,"May 10, 2018",7.2.3633,4.4 and up
C J Academy,FAMILY,,0,5.2M,10+,Free,0,Everyone,Education,"April 2, 2018",1.0,4.4 and up
Wallpaper,PERSONALIZATION,4.5,69488,9.7M,"1,000,000+",Free,0,Everyone,Personalization,"July 8, 2018",6.07,4.1 and up
I am Rich Plus,FAMILY,4.0,856,8.7M,"10,000+",Paid,$399.99,Everyone,Entertainment,"May 19, 2018",3.0,4.4 and up
Photo frame,PHOTOGRAPHY,4.5,859,21M,"100,000+",Free,0,Everyone,Photography,"July 18, 2018",1.5.1,4.0.3 and up
"Calculator - free calculator ,multi calculator app",TOOLS,4.4,1236,5.8M,"100,000+",Free,0,Everyone,Tools,"July 6, 2018",8.1.6,4.2 and up
Navy Gunner Shoot War 3D,GAME,4.0,103199,44M,"10,000,000+",Free,0,Teen,Action,"August 2, 2018",1.0.7.8,4.2 and up
e-DN - den digitala tidningen från Dagens Nyheter,NEWS_AND_MAGAZINES,2.2,160,32M,"50,000+",Free,0,Everyone 10+,News & Magazines,"May 24, 2018",1.3.2,4.4 and up
Runtastic Running App & Mile Tracker,HEALTH_AND_FITNESS,4.5,827597,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 25, 2018",Varies with device,Varies with device
BN Pro RobotoXL-b HD Text,LIBRARIES_AND_DEMO,4.2,86,459k,"10,000+",Free,0,Everyone,Libraries & Demo,"February 5, 2017",2.3.2,1.6 and up
420 BZ Budeze Delivery,MEDICAL,5.0,2,11M,100+,Free,0,Mature 17+,Medical,"June 6, 2018",1.0.1,4.1 and up
Egg,FAMILY,2.9,72,27M,"5,000+",Free,0,Mature 17+,Simulation,"June 9, 2018",1.2.2,2.3 and up
Robin - AI Voice Assistant,MAPS_AND_NAVIGATION,4.2,55313,16M,"1,000,000+",Free,0,Everyone,Maps & Navigation,"August 5, 2018",4.435,4.1 and up
stranger chat - anonymous chat,DATING,3.5,13204,6.1M,"1,000,000+",Free,0,Mature 17+,Dating,"July 7, 2018",2.4.1,4.1 and up
CX-10WiFi,FAMILY,4.0,1419,12M,"100,000+",Free,0,Everyone,Casual,"October 25, 2017",2.5_16,4.0 and up
Dragon BZ Wallpapers HD,PERSONALIZATION,,5,17M,"1,000+",Free,0,Everyone,Personalization,"April 4, 2018",1.11,4.0 and up
BT Church,LIFESTYLE,4.9,26,8.4M,"1,000+",Free,0,Teen,Lifestyle,"June 25, 2018",3.8.0,4.1 and up
British Columbia Transit Info,MAPS_AND_NAVIGATION,,0,5.0M,100+,Free,0,Everyone 10+,Maps & Navigation,"February 19, 2016",3.0,2.2 and up
Dp For Whatsapp,SOCIAL,4.3,39,12M,"5,000+",Free,0,Everyone,Social,"April 13, 2017",1.0,4.0.3 and up
Scanner Radio - Fire and Police Scanner,FAMILY,4.4,175509,Varies with device,"10,000,000+",Free,0,Everyone,Entertainment,"August 7, 2018",Varies with device,Varies with device
Wipe out,EVENTS,4.7,30,Varies with device,500+,Free,0,Teen,Events,"May 23, 2018",Varies with device,Varies with device
USA TODAY,NEWS_AND_MAGAZINES,4.1,49259,Varies with device,"5,000,000+",Free,0,Everyone 10+,News & Magazines,"August 2, 2018",Varies with device,Varies with device
GUN ZOMBIE,GAME,4.4,243121,38M,"5,000,000+",Free,0,Teen,Arcade,"October 17, 2014",5.3,2.3 and up
Lie Detector Test Prank,FAMILY,4.4,222308,6.9M,"10,000,000+",Free,0,Everyone,Entertainment,"July 31, 2018",3.0.2,4.4 and up
Tennis Temple - Live Scores,SPORTS,4.6,5305,Varies with device,"100,000+",Free,0,Everyone,Sports,"May 18, 2018",Varies with device,Varies with device
Triceratops - Dino Robot,FAMILY,4.4,3032,30M,"1,000,000+",Free,0,Everyone,Casual,"December 18, 2017",1.2.3,4.0 and up
ASUS SuperNote,PRODUCTIVITY,4.5,26559,Varies with device,"10,000,000+",Free,0,Everyone,Productivity,"April 14, 2017",Varies with device,Varies with device
Otto DM,SOCIAL,,0,2.4M,10+,Free,0,Teen,Social,"March 7, 2018",1.0,4.0 and up
PUBG MOBILE,GAME,4.4,3715656,36M,"50,000,000+",Free,0,Teen,Action,"July 24, 2018",0.7.0,4.3 and up
Pill Identifier and Drug list,MEDICAL,4.0,488,17M,"100,000+",Free,0,Everyone,Medical,"August 1, 2018",3.8,4.1 and up
"Bleacher Report: sports news, scores, & highlights",SPORTS,4.4,122283,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports,"July 20, 2018",Varies with device,Varies with device
Brightest Flashlight - LED Light,TOOLS,4.5,876866,9.1M,"50,000,000+",Free,0,Everyone,Tools,"July 27, 2018",1.4.9,4.0.3 and up
FINAL FANTASY BRAVE EXVIUS,GAME,4.6,745684,83M,"5,000,000+",Free,0,Teen,Role Playing,"July 17, 2018",3.0.2,4.0.3 and up
Talking Tom Gold Run,GAME,4.6,2698889,78M,"100,000,000+",Free,0,Everyone,Action,"July 31, 2018",2.8.2.59,4.1 and up
Empire Z: Endless War,FAMILY,4.2,367951,76M,"5,000,000+",Free,0,Teen,Strategy,"July 16, 2018",2.2.8,4.0.3 and up
Eat Right Diet (by Dt Shreya's Family Diet Clinic),HEALTH_AND_FITNESS,,0,12M,10+,Free,0,Everyone,Health & Fitness,"August 7, 2018",1.0.7,5.0 and up
Transit: Real-Time Transit App,MAPS_AND_NAVIGATION,4.2,43252,Varies with device,"5,000,000+",Free,0,Everyone,Maps & Navigation,"July 18, 2018",4.4.7,Varies with device
Free Foreclosure Real Estate Search by USHUD.com,HOUSE_AND_HOME,3.4,287,27M,"100,000+",Free,0,Everyone,House & Home,"May 29, 2018",2.4.2,4.4 and up
【Ranobbe complete free】 Novelba - Free app that you can read and write novels,COMICS,,1330,22M,"50,000+",Free,0,Everyone,Comics,"July 3, 2018",6.1.1,4.2 and up
Android P | Xperia™ Theme 4800+ icons,PERSONALIZATION,4.6,29,39M,100+,Paid,$1.99,Everyone,Personalization,"May 16, 2018",1.0.0,6.0 and up
Web Browser,COMMUNICATION,4.2,10965,2.3M,"500,000+",Free,0,Everyone,Communication,"February 2, 2015",2.0,3.0 and up
Puffin Browser Pro,COMMUNICATION,4.0,18247,Varies with device,"100,000+",Paid,$3.99,Everyone,Communication,"July 5, 2018",7.5.3.20547,4.1 and up
Superhero Doctor 2 -ER Surgery,FAMILY,4.0,39647,72M,"10,000,000+",Free,0,Everyone 10+,Casual,"September 30, 2017",1.7,4.0.3 and up
Sumine side dish - dish recipe side dish,FOOD_AND_DRINK,,82,4.9M,"10,000+",Free,0,Everyone,Food & Drink,"June 23, 2018",1.1,4.1 and up
BV Aventure,TRAVEL_AND_LOCAL,,0,5.0M,100+,Free,0,Everyone,Travel & Local,"July 22, 2016",1.3.6,4.0 and up
Fertility Friend Ovulation App,HEALTH_AND_FITNESS,4.5,12955,7.2M,"1,000,000+",Free,0,Teen,Health & Fitness,"June 27, 2018",10.24,4.4 and up
AE Lucky Fishing,GAME,4.3,18277,17M,"1,000,000+",Free,0,Teen,Arcade,"March 14, 2016",2.0.2,2.3 and up
BN Más Cerca de Usted,FINANCE,3.9,8185,45M,"500,000+",Free,0,Everyone,Finance,"July 6, 2018",5.1,4.4 and up
Cake Shop - Kids Cooking,FAMILY,4.3,30668,33M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,"July 16, 2018",2.1.3181,4.0.3 and up
EMT Review Plus,MEDICAL,4.5,199,1.8M,"10,000+",Paid,$11.99,Everyone,Medical,"June 27, 2018",3.0.5,4.4W and up
CS Customizer,COMMUNICATION,3.7,25,3.7M,"1,000+",Free,0,Everyone,Communication,"February 6, 2017",1.2.11,3.0 and up
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32M,"50,000+",Free,0,Everyone,Auto & Vehicles,"July 24, 2018",1.1.5.0,6.0 and up
Angry Birds Classic,GAME,4.4,5566889,97M,"100,000,000+",Free,0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up
EatStreet Food Delivery App,FOOD_AND_DRINK,4.6,7690,25M,"100,000+",Free,0,Everyone,Food & Drink,"July 3, 2018",3.1.14,5.0 and up
FP Notebook,MEDICAL,4.5,410,60M,"50,000+",Free,0,Everyone,Medical,"March 24, 2018",2.1.0.372,4.4 and up
Best Park in the Universe,GAME,4.3,3904,5.5M,"10,000+",Paid,$2.99,Everyone 10+,Action,"September 10, 2014",1.2.1,4.0 and up
Messenger – Text and Video Chat for Free,COMMUNICATION,4.0,56642847,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
Marble - Temple Quest,GAME,4.3,42053,24M,"10,000,000+",Free,0,Everyone,Puzzle,"June 21, 2018",4.9,4.0.3 and up
"Niche: College, K-12, and Neighborhood Search",LIFESTYLE,4.0,42,26M,"5,000+",Free,0,Everyone,Lifestyle,"July 6, 2018",1.0.1,4.4 and up
Live chat - free video chat,DATING,,1,8.7M,500+,Free,0,Mature 17+,Dating,"July 23, 2018",3.52,4.0.3 and up
Combat BF: Black Ops 3,GAME,4.2,7699,83M,"500,000+",Free,0,Mature 17+,Action,"March 2, 2017",5.1.6,2.3 and up
DaBang - Rental Homes in Korea,HOUSE_AND_HOME,4.4,23013,26M,"5,000,000+",Free,0,Everyone,House & Home,"July 17, 2018",3.2.4,4.1 and up
Baby Name Together,PARENTING,4.0,464,24M,"100,000+",Free,0,Everyone,Parenting,"August 6, 2018",2.3.1,5.0 and up
Dungeon Rush,FAMILY,4.0,28633,81M,"1,000,000+",Free,0,Everyone 10+,Role Playing,"December 23, 2016",1.14.0,2.3 and up
EF Staff,PRODUCTIVITY,,0,11M,100+,Free,0,Everyone,Productivity,"May 8, 2018",1.2,4.2 and up
Frequencies Free,TOOLS,3.5,382,3.1M,"100,000+",Free,0,Everyone,Tools,"February 4, 2018",1.9,4.0.3 and up
Ice Crush 10.000 B.C.,FAMILY,4.4,31,4.2M,100+,Paid,$0.99,Everyone,Casual,"August 15, 2013",1.48,2.0 and up
Get Over Your Ex,DATING,4.1,10,11M,"5,000+",Free,0,Everyone,Dating,"April 12, 2017",1.1,4.0.3 and up
bm Wallet,FINANCE,3.5,196,27M,"10,000+",Free,0,Everyone,Finance,"August 20, 2017",1.8,4.1 and up
Perfect Viewer,COMICS,4.4,51981,Varies with device,"5,000,000+",Free,0,Everyone,Comics,"August 1, 2018",4.2.0.2,2.3 and up
Drift Legends,GAME,4.2,33788,27M,"1,000,000+",Free,0,Everyone,Racing,"March 29, 2018",1.8.5,4.1 and up
Scanning body and undressing people,FAMILY,3.4,1012,12M,"100,000+",Free,0,Teen,Entertainment,"February 24, 2018",2.0,3.0 and up
FOX NOW - On Demand & Live TV,ENTERTAINMENT,3.9,60841,Varies with device,"5,000,000+",Free,0,Teen,Entertainment,"July 26, 2018",Varies with device,4.4 and up
CW Seed,FAMILY,4.5,16391,13M,"500,000+",Free,0,Teen,Entertainment,"July 18, 2018",1.16,4.4 and up
"Bleacher Report: sports news, scores, & highlights",SPORTS,4.4,122283,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports,"July 20, 2018",Varies with device,Varies with device
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,"100,000+",Paid,$4.99,Everyone,Business,"April 11, 2017",3.4.6,3.0 and up
FL Bankers,EVENTS,,0,3.4M,10+,Free,0,Everyone,Events,"June 5, 2018",1.0.1,4.2 and up
E! News,NEWS_AND_MAGAZINES,4.0,15443,25M,"1,000,000+",Free,0,Teen,News & Magazines,"June 19, 2018",4.2.133,4.4 and up
ESPN Fantasy Sports,SPORTS,4.0,176450,10M,"5,000,000+",Free,0,Everyone,Sports,"November 21, 2017",5.3.0,4.4 and up
"Evernote – Organizer, Planner for Notes & Memos",PRODUCTIVITY,4.6,1488396,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"August 3, 2018",Varies with device,Varies with device
Calculator CM,TOOLS,4.4,8,1.8M,500+,Free,0,Everyone,Tools,"March 9, 2015",1.0,2.3 and up
Microsoft OneDrive,PRODUCTIVITY,4.4,1038306,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"August 1, 2018",Varies with device,Varies with device
Brica BPRO5 AE,PHOTOGRAPHY,3.9,4726,3.9M,"500,000+",Free,0,Everyone,Photography,"June 17, 2015",v1.0,3.1 and up
Learn Body Parts in English,FAMILY,4.0,7243,42M,"1,000,000+",Free,0,Everyone,Education,"December 6, 2016",5.13,2.3 and up
Tic Tac Toe,FAMILY,4.1,6007,18M,"1,000,000+",Free,0,Everyone,Board;Action & Adventure,"July 3, 2017",1.6.3028.0,2.3 and up
"Newton Mail - Email App for Gmail, Outlook, IMAP",COMMUNICATION,4.0,122595,30M,"1,000,000+",Free,0,Everyone,Communication,"July 19, 2018",9.8.376,5.0 and up
Learn C# - .Net - C Sharp Programming Tutorial App,FAMILY,4.0,1320,8.6M,"100,000+",Free,0,Everyone,Education,"June 3, 2018",4.1.0,4.1 and up
FC BARCELONA EVENTS,SPORTS,4.3,6,11M,100+,Free,0,Everyone,Sports,"April 22, 2018",v2.7.11.16,4.1 and up
Web Browser & Fast Explorer,SOCIAL,4.4,54768,2.6M,"5,000,000+",Free,0,Everyone,Social,"May 16, 2018",3.6.1,4.0.3 and up
"theScore: Live Sports Scores, News, Stats & Videos",SPORTS,4.4,133833,34M,"10,000,000+",Free,0,Everyone 10+,Sports,"July 25, 2018",6.17.2,4.4 and up
Galaxy Attack: Alien Shooter,GAME,4.6,506593,Varies with device,"10,000,000+",Free,0,Everyone,Arcade,"August 1, 2018",5.66,4.1 and up
صور حرف H,ART_AND_DESIGN,4.4,13,4.5M,"1,000+",Free,0,Everyone,Art & Design,"March 27, 2018",2.0,4.0.3 and up
Firefighters First CU,FINANCE,4.8,495,12M,"5,000+",Free,0,Everyone,Finance,"May 1, 2018",5.7.1.0,5.0 and up
Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2M,"50,000+",Free,0,Everyone,Art & Design,"May 31, 2018",1.2,2.3 and up
Hideman VPN,TOOLS,4.1,88675,9.6M,"5,000,000+",Free,0,Everyone,Tools,"July 24, 2018",6.0.1,4.0 and up
Mehmet Emin Ay İlahileri,FAMILY,,0,5.1M,10+,Free,0,Everyone,Entertainment,"July 13, 2018",1.0,4.1 and up
Live Weather & Daily Local Weather Forecast,WEATHER,4.5,13426,19M,"1,000,000+",Free,0,Everyone,Weather,"July 17, 2018",9.9.1.1910,4.1 and up
C Examples,FAMILY,4.2,1002,4.4M,"10,000+",Free,0,Everyone,Education,"August 31, 2016",3.9,4.0 and up
We Heart It,SOCIAL,4.5,637254,Varies with device,"10,000,000+",Free,0,Teen,Social,"July 18, 2018",Varies with device,Varies with device
"Trading 212 - Forex, Stocks, CFDs",FINANCE,4.3,37580,Varies with device,"5,000,000+",Free,0,Everyone,Finance,"August 1, 2018",4.5.2.1,4.4 and up
Cordova BG Geolocation,MAPS_AND_NAVIGATION,3.0,4,Varies with device,"1,000+",Free,0,Everyone,Maps & Navigation,"May 25, 2018",Varies with device,Varies with device
E-cigarette for free,FAMILY,3.6,1354,4.8M,"500,000+",Free,0,Mature 17+,Entertainment,"October 23, 2017",1.0,2.3 and up
My Talking Angela,GAME,4.5,9881908,99M,"100,000,000+",Free,0,Everyone,Casual,"July 3, 2018",3.7.2.51,4.1 and up
Mas Akıllı Ev,HOUSE_AND_HOME,,13,43M,100+,Free,0,Everyone,House & Home,"April 18, 2018",3.2,4.4 and up
The Florida Trail Guide,TRAVEL_AND_LOCAL,4.3,100,13M,"5,000+",Free,0,Everyone,Travel & Local,"April 1, 2017",6.0.18,4.1 and up
Bubble,TOOLS,4.5,31621,208k,"5,000,000+",Free,0,Everyone,Tools,"July 10, 2011",2.0.1,1.6 and up
Empires and Allies,FAMILY,4.3,398746,Varies with device,"10,000,000+",Free,0,Everyone 10+,Strategy,"August 6, 2018",Varies with device,4.1 and up
Avast Wi-Fi Finder,PRODUCTIVITY,4.3,37277,13M,"1,000,000+",Free,0,Everyone,Productivity,"February 26, 2018",2.3.1,4.0.3 and up
CT POSITIONING,MEDICAL,4.5,18,9.3M,"5,000+",Free,0,Everyone,Medical,"March 10, 2018",2.0,4.0.3 and up
LEGO® TV,ENTERTAINMENT,3.7,17247,7.2M,"1,000,000+",Free,0,Everyone 10+,Entertainment;Music & Video,"August 4, 2018",4.0.2,5.0 and up
Everlance: Free Mileage Log,FINANCE,4.7,7514,14M,"100,000+",Free,0,Everyone,Finance,"July 31, 2018",1.9.9.9.3,4.4 and up
Bitcoin Ticker Widget,FINANCE,4.6,25744,Varies with device,"500,000+",Free,0,Everyone,Finance,"July 30, 2018",Varies with device,Varies with device
One Today by Google,LIFESTYLE,4.5,2586,9.4M,"100,000+",Free,0,Everyone,Lifestyle,"December 17, 2015",1.9.0.110162364,4.0.3 and up
Parallel Space - Multiple accounts & Two face,PERSONALIZATION,4.6,3062845,7.4M,"100,000,000+",Free,0,Everyone,Personalization,"August 3, 2018",4.0.8552,4.0.3 and up
UFC,SPORTS,4.0,30840,Varies with device,"1,000,000+",Free,0,Teen,Sports,"May 22, 2018",Varies with device,Varies with device
Greater London A-Z 2016,TRAVEL_AND_LOCAL,3.7,40,9.0M,"1,000+",Paid,$8.49,Everyone,Travel & Local,"August 18, 2016",1.0.1,4.1 and up
Futbol24,SPORTS,4.3,31908,Varies with device,"1,000,000+",Free,0,Everyone,Sports,"September 27, 2017",Varies with device,Varies with device
FH Dortmund FB4,FAMILY,,40,9.9M,"1,000+",Free,0,Everyone,Education,"May 22, 2018",1.2.0,4.0.3 and up
Romance et Mystères au Lycée,FAMILY,,350,6.4M,"10,000+",Free,0,Teen,Entertainment,"February 23, 2017",1.0.0,4.0.3 and up
Kurio - Read the Latest News,NEWS_AND_MAGAZINES,4.2,40167,8.7M,"1,000,000+",Free,0,Everyone,News & Magazines,"July 30, 2018",3.12.0,4.4 and up
Seznam.cz,COMMUNICATION,4.3,46702,Varies with device,"1,000,000+",Free,0,Everyone,Communication,"July 4, 2018",Varies with device,Varies with device
Marked by King Bs,FAMILY,4.6,70335,58M,"500,000+",Free,0,Teen,Simulation,"October 17, 2017",1.0.7,4.3 and up
"Yelp: Food, Shopping, Services Nearby",TRAVEL_AND_LOCAL,4.3,397422,Varies with device,"10,000,000+",Free,0,Teen,Travel & Local,"August 3, 2018",Varies with device,Varies with device
EF Academy,HEALTH_AND_FITNESS,5.0,4,15M,50+,Free,0,Everyone,Health & Fitness,"March 23, 2018",7.7.3,4.1 and up
LED Flashlight,TOOLS,4.4,207706,4.3M,"10,000,000+",Free,0,Everyone,Tools,"July 10, 2017",2.4,3.0 and up
Learn SAP BW on HANA,BOOKS_AND_REFERENCE,,0,13M,500+,Free,0,Everyone,Books & Reference,"February 13, 2018",1.1,4.0 and up
Fr Ignacio Outreach,FAMILY,4.9,52,19M,"1,000+",Free,0,Everyone,Education,"January 19, 2018",1.0,4.4 and up
Best Buy,SHOPPING,4.4,186116,34M,"5,000,000+",Free,0,Everyone,Shopping,"August 3, 2018",11.6.0,4.4 and up
"Any.do: To-do list, Calendar, Reminders & Planner",PRODUCTIVITY,4.5,298843,Varies with device,"10,000,000+",Free,0,Everyone,Productivity,"August 5, 2018",Varies with device,Varies with device
"VideoShow-Video Editor, Video Maker, Beauty Camera",VIDEO_PLAYERS,4.6,4016834,Varies with device,"100,000,000+",Free,0,Everyone,Video Players & Editors,"July 23, 2018",Varies with device,Varies with device
DW Amharic by AudioNow Digital,NEWS_AND_MAGAZINES,4.5,322,31M,"10,000+",Free,0,Everyone,News & Magazines,"June 26, 2018",4.0.9,4.1 and up
English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73M,"500,000+",Free,0,Everyone,Books & Reference,"August 1, 2018",6.0.8,4.0.3 and up
DN Premium Hookah Lounge,BUSINESS,,1,4.2M,50+,Free,0,Everyone,Business,"October 21, 2015",1.0,2.3 and up
BT One Voice mobile access,COMMUNICATION,4.0,32,437k,"5,000+",Free,0,Everyone,Communication,"July 30, 2015",Version 1.6,1.6 and up
Racing in Car 2,GAME,4.3,234110,38M,"50,000,000+",Free,0,Everyone,Racing,"November 22, 2016",1.0,2.3.3 and up
Penn State Health OnDemand,MEDICAL,,0,40M,50+,Free,0,Everyone,Medical,"July 24, 2018",10.4.1.018_06,4.0.3 and up
10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490,3.8M,"500,000+",Free,0,Everyone 10+,Health & Fitness,"February 17, 2017",1.9,2.3.3 and up
Garden Fever - Free!,FAMILY,3.9,13253,12M,"1,000,000+",Free,0,Everyone,Puzzle,"August 9, 2016",2.1.080,2.3 and up
BS Films,FAMILY,,1,24M,100+,Free,0,Everyone,Entertainment,"December 12, 2017",2.0.0,4.3 and up
Neon-R (Red),PERSONALIZATION,4.7,25,41M,100+,Paid,$0.99,Everyone,Personalization,"March 12, 2015",1.0,4.0.3 and up
Homeopathic Medicine Finder,MEDICAL,3.6,10,15M,"1,000+",Free,0,Everyone,Medical,"November 20, 2017",0.0.1,4.0 and up
Weapons simulator AK-47,FAMILY,4.1,21,26M,"5,000+",Free,0,Everyone,Simulation,"May 15, 2017",1,4.1 and up
DV-4036 by Somikon,PHOTOGRAPHY,,17,44M,"1,000+",Free,0,Everyone,Photography,"January 19, 2017",0.0.5,4.3 and up
Zapzapmath: K-6 Math Games,FAMILY,4.3,1065,61M,"100,000+",Free,0,Everyone,Educational;Education,"May 13, 2018",4.1.10,4.1 and up
My Calendar - Period Tracker,MEDICAL,4.7,156410,14M,"5,000,000+",Free,0,Everyone,Medical,"August 3, 2018",5.9.6,4.1 and up
MI-BP,HEALTH_AND_FITNESS,5.0,1,12M,50+,Free,0,Everyone,Health & Fitness,"April 9, 2018",1.0.8.506,5.0 and up
Picai - Smart AI Camera,PHOTOGRAPHY,4.0,529,Varies with device,"100,000+",Free,0,Everyone,Photography,"July 17, 2018",1.2.3,6.0 and up
AG Subway Simulator Pro,FAMILY,,0,Varies with device,"1,000+",Free,0,Everyone,Simulation,"July 27, 2018",Varies with device,Varies with device
Apartments.com Rental Search,HOUSE_AND_HOME,4.3,22584,16M,"1,000,000+",Free,0,Everyone,House & Home,"July 16, 2018",4.7.13,4.4 and up
AP European History: Practice Tests and Flashcards,FAMILY,4.7,7,5.4M,"1,000+",Free,0,Everyone,Education,"July 3, 2018",1.6.7.1,4.1 and up
Sketch 'n' go,VIDEO_PLAYERS,3.8,3965,6.4M,"100,000+",Free,0,Everyone,Video Players & Editors,"March 26, 2018",2.2.9,4.1 and up
HDWallpaper DK,PERSONALIZATION,,0,6.6M,10+,Free,0,Teen,Personalization,"October 5, 2017",1.0,4.0 and up
bigbasket - online grocery,SHOPPING,4.3,216741,Varies with device,"5,000,000+",Free,0,Everyone,Shopping,"August 6, 2018",4.6.0,4.1 and up
DC Comics,COMICS,4.2,25671,Varies with device,"1,000,000+",Free,0,Teen,Comics,"June 5, 2018",Varies with device,Varies with device
QuickBooks Self-Employed:Mileage Tracker and Taxes,FINANCE,4.4,15141,25M,"1,000,000+",Free,0,Everyone,Finance,"July 24, 2018",4.63,5.0 and up
PTA Content Master,MEDICAL,4.2,64,41M,"1,000+",Paid,$29.99,Everyone,Medical,"December 22, 2015",2.1,2.2 and up
Bo Aung Din,EVENTS,4.1,110,2.6M,"5,000+",Free,0,Teen,Events,"June 5, 2018",Version 1.3.1,4.0.3 and up
Sun & Moon AR Locator,WEATHER,3.3,115,5.1M,"10,000+",Free,0,Everyone,Weather,"February 23, 2017",1.4,4.1 and up
Downvids Helper - One touch DW,VIDEO_PLAYERS,3.5,197,9.8M,"10,000+",Free,0,Everyone,Video Players & Editors,"February 5, 2017",1.0,4.0.3 and up
DK Online,FAMILY,,21,3.5M,100+,Free,0,Everyone,Entertainment,"May 18, 2018",8.2,4.0.3 and up
EO.TRADE - Coin sale,FINANCE,4.3,95,1.5M,"10,000+",Free,0,Everyone,Finance,"June 5, 2018",0.3,4.0.3 and up
Wallpapers FN SCAR H,PERSONALIZATION,5.0,4,9.2M,100+,Free,0,Teen,Personalization,"April 12, 2018",1.0,4.1 and up
Five Nights at Pizzeria,GAME,3.5,1976,21M,"100,000+",Free,0,Teen,Action,"March 3, 2018",1.6,4.1 and up
Free antivirus and VPN,TOOLS,4.3,27749,16M,"1,000,000+",Free,0,Everyone,Tools,"July 19, 2018",3.3.6,4.0.3 and up
Nasihat - Chalo ae Pyaara,FAMILY,4.7,557,6.7M,"10,000+",Free,0,Everyone,Education,"October 9, 2015",1.0,2.1 and up
ClassDojo,FAMILY,4.4,148536,59M,"10,000,000+",Free,0,Everyone,Education;Education,"August 3, 2018",4.21.1,4.1 and up
CI View,BUSINESS,,2,9.9M,100+,Free,0,Everyone,Business,"April 19, 2017",2.9,4.1 and up
Brain Waves - Binaural Beats,HEALTH_AND_FITNESS,4.4,5038,10M,"500,000+",Free,0,Everyone,Health & Fitness,"July 15, 2018",5.2,4.4 and up
Nextdoor - Local neighborhood news & classifieds,SOCIAL,4.3,51504,20M,"5,000,000+",Free,0,Teen,Social,"July 25, 2018",2.69,5.0 and up
Travis CU,FINANCE,2.0,207,2.9M,"10,000+",Free,0,Everyone,Finance,"February 16, 2018",1.0.0.9,4.4 and up
Super ABC! Learning games for kids! Preschool apps,FAMILY,4.6,20267,46M,"1,000,000+",Free,0,Everyone,Educational;Education,"July 16, 2018",1.1.6.7,4.1 and up
